    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-06-30]  卖出 (SELL)  | 600900.SH | ¥  19.09 |    -5484 股 | ¥157.0343
[2020-06-30]  卖出 (SELL)  | 600048.SH | ¥  14.57 |    -6828 股 | ¥149.2259
[2020-06-30]  卖出 (SELL)  | 601668.SH | ¥   4.79 |   -19640 股 | ¥141.1134
[2020-06-30]  卖出 (SELL)  | 600958.SH | ¥   9.33 |   -10856 股 | ¥151.9297
[2020-06-30]  卖出 (SELL)  | 601377.SH | ¥   6.30 |   -17260 股 | ¥163.1070
[2020-06-30]  卖出 (SELL)  | 601288.SH | ¥   3.37 |     -269 股 | ¥1.3598
[2020-06-30]  买入 (BUY)   | 601857.SH | ¥   4.20 |      200 股 | ¥1.2600
[2020-06-30]  买入 (BUY)   | 601601.SH | ¥  27.20 |     3667 股 | ¥149.6136
[2020-06-30]  买入 (BUY)   | 601985.SH | ¥   4.09 |    24316 股 | ¥149.1787
[2020-06-30]  买入 (BUY)   | 600028.SH | ¥   3.93 |      491 股 | ¥2.8944
[2020-06-30]  买入 (BUY)   | 601166.SH | ¥  15.87 |     6298 股 | ¥149.9239
[2020-06-30]  买入 (BUY)   | 600919.SH | ¥   5.68 |      690 股 | ¥5.8788
[2020-06-30]  买入 (BUY)   | 600519.SH | ¥1463.12 |       67 股 | ¥147.0436
[2020-06-30]  买入 (BUY)   | 000338.SZ | ¥  13.68 |     7361 股 | ¥151.0477
[2020-06-30]  买入 (BUY)   | 600276.SH | ¥  92.88 |     1078 股 | ¥150.1870
[2020-07-07]  卖出 (SELL)  | 600519.SH | ¥1603.09 |      -67 股 | ¥161.1105
[2020-07-07]  卖出 (SELL)  | 601166.SH | ¥  18.95 |    -6298 股 | ¥179.0207
[2020-07-07]  卖出 (SELL)  | 601288.SH | ¥   3.80 |   -29512 股 | ¥168.2184
[2020-07-07]  卖出 (SELL)  | 601857.SH | ¥   4.77 |   -23455 股 | ¥167.8205
[2020-07-07]  卖出 (SELL)  | 000338.SZ | ¥  15.66 |    -7361 股 | ¥172.9099
[2020-07-07]  卖出 (SELL)  | 601601.SH | ¥  34.99 |    -3667 股 | ¥192.4625
[2020-07-07]  卖出 (SELL)  | 600028.SH | ¥   4.31 |   -25370 股 | ¥164.0170
[2020-07-07]  卖出 (SELL)  | 601985.SH | ¥   4.58 |   -24316 股 | ¥167.0509
[2020-07-07]  卖出 (SELL)  | 600919.SH | ¥   6.87 |   -17571 股 | ¥181.0692
[2020-07-07]  买入 (BUY)   | 300124.SZ | ¥  38.80 |     2886 股 | ¥167.9652
[2020-07-07]  买入 (BUY)   | 600276.SH | ¥  93.47 |      124 股 | ¥17.3854
[2020-07-07]  买入 (BUY)   | 300347.SZ | ¥  94.21 |     1165 股 | ¥164.6320
[2020-07-07]  买入 (BUY)   | 603259.SH | ¥  93.50 |     1191 股 | ¥167.0377
[2020-07-07]  买入 (BUY)   | 002352.SZ | ¥  56.82 |     1972 股 | ¥168.0736
[2020-07-07]  买入 (BUY)   | 600690.SH | ¥  18.82 |     5950 股 | ¥167.9685
[2020-07-07]  买入 (BUY)   | 600900.SH | ¥  19.45 |     5799 股 | ¥169.1858
[2020-07-07]  买入 (BUY)   | 002241.SZ | ¥  29.38 |     3831 股 | ¥168.8322
[2020-07-07]  买入 (BUY)   | 600436.SH | ¥ 173.00 |      649 股 | ¥168.4155
[2020-07-07]  买入 (BUY)   | 300122.SZ | ¥  95.00 |     1172 股 | ¥167.0100
[2020-07-14]  卖出 (SELL)  | 002241.SZ | ¥  33.90 |    -3831 股 | ¥194.8064
[2020-07-14]  卖出 (SELL)  | 300122.SZ | ¥ 128.98 |    -1172 股 | ¥226.7468
[2020-07-14]  卖出 (SELL)  | 002352.SZ | ¥  65.40 |    -1972 股 | ¥193.4532
